proj_index,row,col,u_p,v_p,u_c_pred,v_c_pred,u_c,v_c,dx_px,dy_px,reproj_err_px,cam_det_index
0,0,0,25.0,8.989361763000488,1047.137451171875,1247.375732421875,1047.137451171875,1247.375732421875,0.0,0.0,0.0,3
1,0,1,55.0,8.989361763000488,1168.088134765625,1246.410888671875,1170.471923828125,1248.0721435546875,2.3837890625,1.6612548828125,2.9055495315280724,4
2,0,2,85.0,8.989361763000488,1288.7723388671875,1245.4481201171875,1291.0635986328125,1248.5643310546875,2.291259765625,3.1162109375,3.867898902578318,7
3,0,3,115.0,8.989361763000488,1409.1910400390625,1244.487548828125,1410.2001953125,1248.6031494140625,1.0091552734375,4.1156005859375,4.237518442305096,8
4,0,4,145.0,8.989361763000488,1529.344970703125,1243.529052734375,1528.508056640625,1248.1575927734375,-0.8369140625,4.6285400390625,4.70359522506082,9
5,0,5,175.0,8.989361763000488,1649.235107421875,1242.5726318359375,1646.356689453125,1247.2330322265625,-2.87841796875,4.660400390625,5.4776474698323305,5
6,0,6,205.0,8.989361763000488,1768.8621826171875,1241.6182861328125,1764.4222412109375,1245.8668212890625,-4.43994140625,4.24853515625,6.145171329167759,6
7,0,7,235.0,8.989361763000488,1888.227294921875,1240.6661376953125,1883.201171875,1243.8135986328125,-5.026123046875,3.1474609375,5.930297061312899,2
8,0,8,265.0,8.989361763000488,2007.3310546875,1239.7159423828125,2003.4542236328125,1241.540283203125,-3.8768310546875,1.8243408203125,4.284628158340917,1
9,0,9,295.0,8.989361763000488,2126.174560546875,1238.7679443359375,2126.174560546875,1238.7679443359375,0.0,0.0,0.0,0
10,1,0,40.0,30.0,1109.0377197265625,1328.4842529296875,1110.2340087890625,1327.8646240234375,1.1962890625,-0.61962890625,1.3472369882532547,15
11,1,1,70.0,30.0,1229.775146484375,1327.43115234375,1231.86181640625,1328.04345703125,2.086669921875,0.6123046875,2.174651326809034,16
12,1,2,100.0,30.0,1350.2469482421875,1326.3804931640625,1351.589111328125,1327.778564453125,1.3421630859375,1.3980712890625,1.9380415574889394,19
13,1,3,130.0,30.0,1470.4539794921875,1325.33203125,1470.04833984375,1327.47265625,-0.4056396484375,2.140625,2.178719558596172,17
14,1,4,160.0,30.0,1590.3970947265625,1324.2860107421875,1588.0269775390625,1326.5538330078125,-2.3701171875,2.267822265625,3.2803160382724434,18
15,1,5,190.0,30.0,1710.0771484375,1323.2421875,1705.974609375,1325.263916015625,-4.1025390625,2.021728515625,4.573643290663325,14
16,1,6,220.0,30.0,1829.4949951171875,1322.2005615234375,1824.25390625,1323.61767578125,-5.2410888671875,1.4171142578125,5.429293262796938,13
17,1,7,250.0,30.0,1948.651611328125,1321.161376953125,1943.57958984375,1321.631591796875,-5.072021484375,0.47021484375,5.093771091955784,12
18,1,8,280.0,30.0,2067.547607421875,1320.1243896484375,2064.677490234375,1319.446044921875,-2.8701171875,-0.6783447265625,2.9491904377367804,11
19,1,9,311.1649475097656,30.0,2190.78564453125,1319.049560546875,2189.24560546875,1316.9217529296875,-1.5400390625,-2.1278076171875,2.6266491143255175,10
20,2,0,25.0,50.0,1049.9300537109375,1406.622314453125,1049.140380859375,1407.97705078125,-0.7896728515625,1.354736328125,1.5680860088772102,25
21,2,1,55.0,50.0,1170.724609375,1405.4832763671875,1172.194580078125,1407.589599609375,1.469970703125,2.1063232421875,2.5685426740907125,26
22,2,2,85.0,50.0,1291.25341796875,1404.3466796875,1292.672607421875,1407.198486328125,1.419189453125,2.851806640625,3.1854198811732943,27
23,2,3,115.0,50.0,1411.517333984375,1403.212646484375,1411.5867919921875,1406.513427734375,0.0694580078125,3.30078125,3.301511968053553,28
24,2,4,145.0,50.0,1531.51708984375,1402.0811767578125,1529.911376953125,1405.640625,-1.605712890625,3.5594482421875,3.9048669216672387,29
25,2,5,175.0,50.0,1651.25390625,1400.9521484375,1647.7462158203125,1404.28173828125,-3.5076904296875,3.32958984375,4.83632718890321,24
26,2,6,205.0,50.0,1770.728271484375,1399.8255615234375,1765.74169921875,1402.8133544921875,-4.986572265625,2.98779296875,5.813158331269877,22
27,2,7,235.0,50.0,1889.9412841796875,1398.701416015625,1884.5220947265625,1401.5196533203125,-5.419189453125,2.8182373046875,6.108197429225213,23
28,2,8,265.0,50.0,2008.8936767578125,1397.579833984375,2004.7760009765625,1399.5797119140625,-4.11767578125,1.9998779296875,4.577637553710861,21
29,2,9,295.0,50.0,2127.58642578125,1396.4605712890625,2126.983642578125,1397.5218505859375,-0.602783203125,1.061279296875,1.2205168314878454,20
30,3,0,40.0,71.16494750976562,1111.7587890625,1488.0345458984375,1111.7587890625,1488.0345458984375,0.0,0.0,0.0,37
31,3,1,70.0,71.16494750976562,1232.340087890625,1486.807373046875,1233.3753662109375,1487.116943359375,1.0352783203125,0.3095703125,1.0805715982249482,38
32,3,2,100.0,71.16494750976562,1352.656494140625,1485.5828857421875,1352.887939453125,1486.014892578125,0.2314453125,0.4320068359375,0.4900988053188384,39
